Acquisition_1,Acquisition_2,Acquisition_3,Acquisition_4,Acquisition_5,Acquisition_6,Acquisition_7,Acquisition_8,Acquisition_9,Acquisition_10,Acquisition_11,Acquisition_12,Acquisition_13,Acquisition_14,Acquisition_15,Acquisition_16,Acquisition_17,Acquisition_18,Acquisition_19,Acquisition_20,Acquisition_21,Acquisition_22,Acquisition_23,Acquisition_24,Acquisition_25
907060557253.21,854455817066.26,745334484769.75,627802872173.75,698920085942.92,869673139101.13,899345346363.78,794135371850.72,679374484302.03,611833457278.63,640607491382.69,698684953111.53,815689691978.22,875677980019.16,817750036110.25,713655096599.81,591880643468.00,625445300326.12,789934102844.25,827621715583.25,675537346400.00,617535853424.26,776546258900.09,585648320096.78,828692910707.29
906395770816.63,854173156075.69,745120413209.30,627337648624.17,699171543740.21,869414339689.92,899156160034.75,794022182860.88,678823480526.99,611301174860.31,640064306482.90,698183777689.17,815340256966.37,874108153049.22,816420400774.74,711931496048.29,590260313356.79,623797211603.19,788450651823.16,826773488303.43,674975061121.84,617413093442.05,776449013506.11,583781185928.71,827503607544.56
905716730325.74,853852950493.14,744869986984.92,626835264898.66,699461472707.31,869192295700.67,898966918294.49,793909154012.57,678272564737.52,610784360998.46,639494220757.35,697645087113.58,814969206763.92,872553333421.21,815096196781.01,710175269129.64,588607574229.35,622113653012.83,786967557226.61,825941309907.64,674391977650.91,617267908169.34,776391066567.17,581878634704.45,826343711459.10
905023648912.71,853495220724.78,744656307274.94,626295734904.39,699789866921.33,868970254438.02,898777621060.70,793757343416.99,677721736809.74,610283133917.47,638913276255.90,697068857900.28,814576710429.56,871013472369.18,813777303375.80,708386343168.17,586922543416.86,620394692549.51,785485049466.31,825125149021.23,673788175695.06,617100201506.08,776372411925.60,579940625828.57,825213287037.64
904316744861.70,853099987694.03,744448605073.25,625756377139.07,700079941711.33,868711478259.33,898617478623.94,793605688429.15,677170996650.06,609797618641.95,638321420936.55,696455067049.69,814162941271.22,869473546033.57,812463604605.78,706564646770.84,585205342150.90,618640400322.43,784003366853.81,824324978836.05,673163740230.98,616909882282.24,776393043396.95,577967119655.07,824112401679.28
903596241664.17,852676972909.24,744246827936.08,625217191294.60,700331703038.90,868415978845.36,898428066464.52,793454189203.77,676597735712.17,609351951765.93,637691545566.51,695803692035.29,813728076894.84,867948515170.11,811154989364.96,704710109809.98,583456095687.54,616850848625.69,782522755705.80,823508808662.12,672518761553.73,616696864231.95,776452954773.65,575958077478.87,823041125586.79
902918711404.87,852216448282.77,744039419376.42,624640883296.46,700583542380.07,868083768560.94,898230460525.62,793302845895.10,676001984156.40,608931195881.72,637023639494.91,695114710792.02,813272299253.79,866438338732.26,809851351441.85,702822663406.55,581675070533.82,615026112011.63,781043470454.71,822676665834.91,671853335328.91,616461065970.02,776552139828.59,573918051335.38,821999531756.25
902227881804.26,851718434813.43,743826432055.95,624094076121.15,700835459768.03,867757896018.56,898024649417.77,793151658656.90,675383776814.08,608550242498.93,636317692434.06,694388101704.93,812795794698.71,864942979765.61,808580030049.22,700902239914.01,579862109092.58,613166267367.28,779565773765.37,821828582507.97,671167562647.41,616202410971.02,776690592318.77,571842484276.04,820987695965.15
901523986668.86,851258528258.35,743650143997.99,623576806540.71,701113852638.59,867438329466.03,897810626648.32,792976825552.90,674749174335.33,608209110848.90,635573694455.70,693623843598.06,812298754027.63,863462405437.51,807277672676.01,698948772902.72,578051363019.66,611344495199.63,778089936658.94,820964595684.49,670461550082.75,615920827550.75,776868305988.87,569731337939.55,820005696758.91
900807265144.45,850761148132.34,743504838683.38,623097042801.49,701418746536.27,867125042320.16,897588390626.61,792763222834.69,674092138117.80,607868875487.31,634791635987.57,692821915723.54,811781372536.24,861996587064.88,805980127031.80,696962197144.86,576209030368.17,609560742108.57,776616238645.00,820084747250.48,669735409751.16,615616248850.30,777085274574.89,567584574869.19,819053615435.83
